Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780789411,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780789412,20,,Aggregated,0.000000,0.000000,20,24,27,30,87,290,450,450,490,490,490,362,0,20,47.754259008295335,2.9405210007098503,485.87311300070724,1394.267955801105
1780789413,20,,Aggregated,0.000000,0.000000,17,24,28,39,180,380,460,470,490,490,490,589,0,17,58.45679495903789,2.9405210007098503,485.87311300070724,1378.7589134125637
1780789414,20,,Aggregated,74.000000,0.000000,18,25,32,46,160,320,450,460,490,530,530,1005,0,18,54.285356968010554,2.9405210007098503,530.0171929993667,1371.9651741293533
1780789415,20,,Aggregated,193.000000,0.000000,17,25,32,55,170,370,460,550,650,670,670,1165,0,17,60.604262110646545,2.9405210007098503,671.7597979950369,1381.1090128755366
1780789416,20,,Aggregated,222.666667,0.000000,19,27,39,66,190,400,480,620,740,750,750,1359,0,19,65.66417442082265,2.9405210007098503,746.3839199990616,1378.120676968359
1780789417,20,,Aggregated,251.250000,0.000000,19,28,41,71,210,420,510,610,740,750,750,1663,0,19,68.92377537756336,2.9405210007098503,746.3839199990616,1407.543595911004
1780789418,20,,Aggregated,238.800000,0.000000,19,28,44,79,220,430,500,590,740,750,750,1908,0,19,70.77324647741176,2.9405210007098503,746.3839199990616,1400.5398322851154
1780789419,20,,Aggregated,238.666667,0.000000,19,27,40,66,200,390,480,560,730,750,750,2260,0,19,66.49896233800459,2.9405210007098503,746.3839199990616,1391.8628318584072
1780789420,20,,Aggregated,242.714286,0.000000,18,27,44,79,210,390,480,550,730,750,750,2567,0,18,67.53889122513642,2.9405210007098503,746.3839199990616,1386.0732372419166
1780789421,20,,Aggregated,247.750000,0.000000,19,27,37,60,190,380,470,540,690,750,750,3017,0,19,63.84274786738535,2.9405210007098503,746.3839199990616,1385.2900232018562
1780789422,20,,Aggregated,252.777778,0.000000,19,27,35,55,190,370,470,550,690,750,750,3382,0,19,62.26198422441557,2.9405210007098503,746.3839199990616,1387.4260792430514
1780789423,20,,Aggregated,261.700000,0.000000,18,27,35,56,190,370,470,540,690,750,750,3661,0,18,62.52106224117302,2.9405210007098503,746.3839199990616,1383.9005736137667
1780789424,20,,Aggregated,305.700000,0.000000,18,27,36,60,190,370,470,530,690,750,750,3981,0,18,62.5312949645675,2.9405210007098503,746.3839199990616,1385.6839989952273
1780789425,20,,Aggregated,301.800000,0.000000,19,27,34,50,170,340,460,530,680,750,750,4475,0,19,59.08182050477045,2.9405210007098503,746.3839199990616,1383.7477094972066
1780789426,20,,Aggregated,304.700000,0.000000,21,28,33,41,160,320,460,510,670,750,750,5071,0,21,56.201072665535314,2.9405210007098503,746.3839199990616,1382.7546834943798
1780789427,20,,Aggregated,308.300000,0.000000,21,28,32,39,150,300,450,500,670,750,750,5529,0,21,54.692711407645504,2.9405210007098503,746.3839199990616,1381.0269488153374
1780789428,20,,Aggregated,337.200000,0.000000,22,28,32,38,140,300,450,490,670,750,750,5952,0,22,53.88385381988834,2.9405210007098503,746.3839199990616,1380.5535954301076
1780789429,20,,Aggregated,372.900000,0.000000,21,28,32,39,150,300,450,490,650,750,750,6196,0,21,54.969224996448794,2.9405210007098503,746.3839199990616,1378.108941252421
1780789430,20,,Aggregated,389.300000,0.000000,21,28,32,40,150,300,450,490,650,750,750,6528,0,21,54.866166605859014,2.9405210007098503,746.3839199990616,1375.6190257352941
1780789431,20,,Aggregated,399.400000,0.000000,21,28,32,38,140,280,440,480,650,750,750,7148,0,21,52.78555327924376,2.9405210007098503,746.3839199990616,1375.4899272523783
1780789432,20,,Aggregated,397.700000,0.000000,22,28,32,36,130,270,440,480,650,750,750,7619,0,22,51.56596247368053,2.9405210007098503,746.3839199990616,1373.6796167476048
