Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780795801,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780795802,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780795803,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780795804,15,,Aggregated,0.000000,0.000000,1700,1700,2700,2700,2700,2700,2700,2700,2700,2700,2700,19,0,1700,1384.5189365276478,109.91928200382972,2719.56364599464,15.0
1780795805,20,,Aggregated,0.000000,0.000000,710,1700,1700,2700,2700,2700,2700,2700,2700,2700,2700,25,0,710,1159.8589752012049,98.89992099488154,2719.56364599464,15.0
1780795806,20,,Aggregated,0.000000,0.000000,720,1300,1300,1700,2700,2700,2700,2700,2700,2700,2700,43,0,720,1058.8089008846043,3.8245120013016276,2719.56364599464,765.9302325581396
1780795807,20,,Aggregated,6.250000,0.000000,520,1300,1300,1300,1700,2700,2700,2700,2700,2700,2700,58,0,520,786.224911621283,3.085429001657758,2719.56364599464,760.8620689655172
1780795808,20,,Aggregated,8.600000,0.000000,500,710,1300,1300,1700,2700,2700,2700,2700,2700,2700,65,0,500,702.1435376928331,3.085429001657758,2719.56364599464,879.7538461538461
1780795809,20,,Aggregated,8.600000,0.000000,110,520,1300,1300,1700,2700,2700,2700,2700,2700,2700,77,0,110,594.3160040524989,3.072159997827839,2719.56364599464,972.5324675324675
1780795810,20,,Aggregated,8.857143,0.000000,11,520,720,1300,1700,2700,2700,2700,2700,2700,2700,86,0,10,532.7428262446415,2.8954119989066385,2719.56364599464,978.7558139534884
1780795811,20,,Aggregated,8.857143,0.000000,8,500,710,1300,1700,2700,2700,2700,2700,2700,2700,96,0,8,477.82129132322854,2.8954119989066385,2719.56364599464,951.46875
1780795812,20,,Aggregated,9.333333,0.000000,7,200,520,1300,1300,1700,2700,2700,2700,2700,2700,105,0,7,437.2889105147416,2.8409529986674897,2719.56364599464,975.7047619047619
1780795813,20,,Aggregated,9.600000,0.000000,6,110,520,710,1300,1700,2700,2700,2700,2700,2700,117,0,6,392.89442177824117,2.615596000396181,2719.56364599464,1022.9487179487179
1780795814,20,,Aggregated,10.300000,0.000000,6,11,510,710,1300,1700,2700,2700,2700,2700,2700,125,0,6,368.12057873635786,2.615596000396181,2719.56364599464,1046.224
1780795815,20,,Aggregated,11.400000,0.000000,5,10,500,520,1300,1700,2700,2700,2700,2700,2700,134,0,5,343.6555322092969,2.3611020005773753,2719.56364599464,1040.6044776119404
1780795816,20,,Aggregated,10.800000,0.000000,5,8,190,520,1300,1700,2700,2700,2700,2700,2700,146,0,5,315.85573354135556,2.3611020005773753,2719.56364599464,1076.3219178082193
