Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780828014,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780828015,5,,Aggregated,0.000000,0.000000,70,71,72,72,74,74,74,74,74,74,74,7,0,70,51.964024142892285,3.0200649998732843,74.4521070000701,1235.5714285714287
1780828016,10,,Aggregated,0.000000,0.000000,27,29,68,70,72,74,74,74,74,74,74,20,0,8,27.407611250009722,3.0200649998732843,74.4521070000701,1624.85
1780828017,10,,Aggregated,5.000000,0.000000,8,28,29,68,71,72,74,74,74,74,74,25,0,8,23.2880641200245,3.0200649998732843,74.4521070000701,1571.68
1780828018,10,,Aggregated,9.000000,0.000000,5,9,28,29,70,72,74,74,74,74,74,34,0,5,18.31799235295715,2.6853310000660713,74.4521070000701,1415.4411764705883
1780828019,10,,Aggregated,7.666667,0.000000,5,8,27,28,70,72,74,74,74,74,74,39,0,5,16.63374494870741,2.6853310000660713,74.4521070000701,1298.7435897435898
1780828020,10,,Aggregated,8.000000,0.000000,5,6,9,27,68,71,74,74,74,74,74,48,0,5,14.296714562476609,2.4297609998029657,74.4521070000701,1153.5
1780828021,10,,Aggregated,7.600000,0.000000,5,6,8,9,31,71,72,74,74,74,74,57,0,5,12.84366626313976,2.4297609998029657,74.4521070000701,1166.2105263157894
1780828022,10,,Aggregated,7.833333,0.000000,5,6,8,8,29,70,72,74,74,74,74,66,0,5,11.766155196958358,2.4297609998029657,74.4521070000701,1175.4545454545455
1780828023,10,,Aggregated,7.833333,0.000000,5,5,7,8,28,70,72,74,74,74,74,72,0,5,11.146625986106706,2.4297609998029657,74.4521070000701,1140.111111111111
1780828024,10,,Aggregated,7.875000,0.000000,5,5,7,8,28,70,72,74,74,74,74,80,0,5,10.476403637517251,2.4297609998029657,74.4521070000701,1109.5
1780828025,10,,Aggregated,8.000000,0.000000,5,5,6,8,28,68,72,74,74,74,74,86,0,5,10.103510232585354,2.4297609998029657,74.4521070000701,1158.906976744186
1780828026,10,,Aggregated,7.900000,0.000000,5,5,6,7,27,68,72,74,74,74,74,94,0,5,9.596017063852335,2.4297609998029657,74.4521070000701,1197.6382978723404
1780828027,10,,Aggregated,7.800000,0.000000,5,5,6,7,10,31,71,72,74,74,74,101,0,5,9.215606524767372,2.4297609998029657,74.4521070000701,1200.1089108910892
1780828028,10,,Aggregated,7.200000,0.000000,5,5,5,6,10,31,71,72,74,74,74,110,0,5,8.810908063630698,2.4297609998029657,74.4521070000701,1238.8181818181818
1780828029,10,,Aggregated,7.600000,0.000000,5,5,5,6,9,31,71,72,74,74,74,119,0,5,8.490261739487844,2.4297609998029657,74.4521070000701,1237.142857142857
1780828030,10,,Aggregated,7.600000,0.000000,5,5,5,6,8,29,71,72,74,74,74,126,0,5,8.269698746026114,2.4297609998029657,74.4521070000701,1221.2301587301588
1780828031,10,,Aggregated,7.700000,0.000000,5,5,5,6,8,29,71,72,74,74,74,133,0,5,8.119235037587426,2.4297609998029657,74.4521070000701,1255.1127819548872
1780828032,10,,Aggregated,7.500000,0.000000,5,5,5,6,8,28,71,72,74,74,74,142,0,5,7.955778183092572,2.4297609998029657,74.4521070000701,1239.8661971830986
1780828033,10,,Aggregated,7.700000,0.000000,5,5,5,6,8,28,71,72,74,74,74,149,0,5,7.827972442937119,2.4297609998029657,74.4521070000701,1254.9261744966443
1780828034,10,,Aggregated,7.500000,0.000000,5,5,6,6,8,28,70,72,74,74,74,158,0,5,7.703690879731732,2.4297609998029657,74.4521070000701,1255.7278481012659
1780828035,10,,Aggregated,7.400000,0.000000,5,5,5,6,8,28,70,72,74,74,74,167,0,5,7.540955275419288,2.4297609998029657,74.4521070000701,1266.4071856287426
1780828036,10,,Aggregated,7.700000,0.000000,5,5,6,6,8,28,70,72,74,74,74,176,0,5,7.436737369289403,2.4297609998029657,74.4521070000701,1265.6193181818182
1780828037,10,,Aggregated,8.100000,0.000000,5,5,6,7,8,27,70,72,74,74,74,185,0,5,7.330267713478935,2.4297609998029657,74.4521070000701,1241.8594594594595
1780828038,10,,Aggregated,8.100000,0.000000,5,5,6,7,8,27,70,72,74,74,74,189,0,5,7.2881578994407805,2.4297609998029657,74.4521070000701,1261.015873015873
1780828039,10,,Aggregated,8.400000,0.000000,5,5,6,7,8,27,70,72,74,74,74,199,0,5,7.170748030125536,2.4297609998029657,74.4521070000701,1264.2462311557788
1780828040,10,,Aggregated,8.100000,0.000000,5,5,6,6,8,10,68,71,74,74,74,208,0,5,7.05597737497608,2.4297609998029657,74.4521070000701,1251.9423076923076
1780828041,10,,Aggregated,8.200000,0.000000,5,5,5,6,8,10,68,71,74,74,74,216,0,5,6.9591622129455235,2.4297609998029657,74.4521070000701,1256.2037037037037
1780828042,10,,Aggregated,8.400000,0.000000,5,5,5,6,8,9,68,71,74,74,74,224,0,5,6.869839575874233,2.4297609998029657,74.4521070000701,1259.4642857142858
1780828043,10,,Aggregated,8.200000,0.000000,5,5,5,6,8,9,68,71,74,74,74,232,0,5,6.768439370669762,2.4297609998029657,74.4521070000701,1253.3103448275863
1780828044,10,,Aggregated,8.400000,0.000000,5,5,5,6,8,9,68,71,74,74,74,239,0,5,6.687070970690599,2.4297609998029657,74.4521070000701,1235.5355648535565
1780828045,10,,Aggregated,8.400000,0.000000,5,5,5,6,8,9,68,71,74,74,74,246,0,5,6.62428206502094,2.4297609998029657,74.4521070000701,1236.1097560975609
1780828046,10,,Aggregated,8.000000,0.000000,5,5,5,6,8,9,31,71,74,74,74,255,0,5,6.529500360767426,2.4297609998029657,74.4521070000701,1226.4549019607844
1780828047,10,,Aggregated,8.100000,0.000000,5,5,5,6,8,8,31,71,74,74,74,261,0,5,6.493365892708226,2.4297609998029657,74.4521070000701,1231.8697318007662
1780828048,10,,Aggregated,7.800000,0.000000,5,5,5,6,8,8,31,71,74,74,74,270,0,5,6.443498470354017,2.4297609998029657,74.4521070000701,1239.8444444444444
1780828049,10,,Aggregated,7.700000,0.000000,5,5,5,6,8,8,31,71,74,74,74,278,0,5,6.383846017971016,2.4297609998029657,74.4521070000701,1258.2805755395684
1780828050,10,,Aggregated,8.000000,0.000000,5,5,5,6,8,8,31,71,74,74,74,287,0,5,6.31345005921937,2.4297609998029657,74.4521070000701,1263.864111498258
1780828051,10,,Aggregated,8.000000,0.000000,5,5,5,5,8,8,31,71,74,74,74,296,0,5,6.273677483096509,2.4297609998029657,74.4521070000701,1284.0337837837837
1780828052,10,,Aggregated,7.900000,0.000000,5,5,5,5,8,8,29,70,74,74,74,304,0,5,6.226071075652247,2.4297609998029657,74.4521070000701,1299.7302631578948
1780828053,10,,Aggregated,7.900000,0.000000,5,5,5,5,8,8,29,70,74,74,74,314,0,5,6.177670831197722,2.4297609998029657,74.4521070000701,1306.8407643312103
1780828054,10,,Aggregated,7.900000,0.000000,5,5,5,5,8,8,29,70,74,74,74,321,0,5,6.130537408086789,2.4297609998029657,74.4521070000701,1311.8785046728972
1780828055,10,,Aggregated,8.000000,0.000000,5,5,5,5,8,8,29,70,74,74,74,329,0,5,6.093782176277608,2.4297609998029657,74.4521070000701,1332.1854103343464
