Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780828888,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780828889,2,,Aggregated,0.000000,0.000000,84,84,84,84,84,84,84,84,84,84,84,2,0,77.0906540001306,80.73923699976149,77.0906540001306,84.38781999939238,1165.0
1780828890,4,,Aggregated,0.000000,0.000000,77,77,84,84,84,84,84,84,84,84,84,4,0,70,75.28163499955554,69.65825599945674,84.38781999939238,1165.0
1780828891,6,,Aggregated,0.000000,0.000000,70,70,77,77,84,84,84,84,84,84,84,6,0,70,57.08597083306207,20.259806000467506,84.38781999939238,1496.6666666666667
1780828892,8,,Aggregated,2.000000,0.000000,70,77,84,84,120,120,120,120,120,120,120,8,0,70,66.06750224966618,20.259806000467506,115.78936699970654,1145.875
1780828893,10,,Aggregated,2.000000,0.000000,70,74,77,77,84,120,120,120,120,120,120,11,0,70,62.262344545243565,8.647904000099516,115.78936699970654,880.0
1780828894,10,,Aggregated,2.000000,0.000000,70,74,77,77,84,120,120,120,120,120,120,11,0,70,62.262344545243565,8.647904000099516,115.78936699970654,880.0
1780828895,10,,Aggregated,2.000000,0.000000,70,73,77,77,84,120,120,120,120,120,120,12,0,70,57.793668416479704,8.638231000077212,115.78936699970654,821.1666666666666
1780828896,10,,Aggregated,1.833333,0.000000,70,73,74,77,84,120,120,120,120,120,120,14,0,70,50.62926942835994,6.487519999609503,115.78936699970654,870.3571428571429
1780828897,10,,Aggregated,1.714286,0.000000,21,70,73,74,84,120,120,120,120,120,120,17,0,21,43.061107235135914,6.236457999875711,115.78936699970654,864.0588235294117
1780828898,10,,Aggregated,1.714286,0.000000,20,70,73,74,84,120,120,120,120,120,120,20,0,9,37.23225249987081,2.7387930003897054,115.78936699970654,744.55
1780828899,10,,Aggregated,1.666667,0.000000,9,70,70,73,77,84,120,120,120,120,120,21,0,9,35.777343142745806,2.7387930003897054,115.78936699970654,717.3333333333334
