Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780830161,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780830162,5,,Aggregated,0.000000,0.000000,71,71,71,73,79,79,79,79,79,79,79,10,0,30,46.80149190016891,7.330915000238747,78.5896050001611,686.9
1780830163,10,,Aggregated,0.000000,0.000000,30,65,67,71,71,73,79,79,79,79,79,22,0,29,38.084890136443306,3.3056000002034125,78.5896050001611,902.4090909090909
1780830164,15,,Aggregated,0.000000,0.000000,8,65,67,70,71,73,79,79,79,79,79,38,0,8,32.65366552635609,2.925630000390811,78.5896050001611,1034.1842105263158
1780830165,20,,Aggregated,10.500000,0.000000,7,65,67,68,71,71,73,79,79,79,79,55,0,7,29.953406600047444,2.786929000649252,78.5896050001611,880.1272727272727
1780830166,20,,Aggregated,12.666667,0.000000,7,29,67,68,71,71,73,79,79,79,79,64,0,7,26.44579406255332,2.7819240003736923,78.5896050001611,865.875
1780830167,20,,Aggregated,12.666667,0.000000,6,8,65,67,71,71,73,79,79,79,79,73,0,6,23.801485575385826,2.7819240003736923,78.5896050001611,911.4657534246576
1780830168,20,,Aggregated,12.600000,0.000000,6,8,29,65,70,71,73,79,79,79,79,86,0,6,21.047845848844972,2.7819240003736923,78.5896050001611,981.7441860465116
1780830169,20,,Aggregated,12.166667,0.000000,6,8,9,65,68,71,73,79,79,79,79,95,0,6,19.52156831579678,2.7819240003736923,78.5896050001611,1049.0315789473684
1780830170,20,,Aggregated,12.000000,0.000000,5,7,8,29,68,71,71,73,79,79,79,106,0,5,17.945225396239415,2.778175999992527,78.5896050001611,1102.7830188679245
1780830171,20,,Aggregated,11.750000,0.000000,5,7,8,9,68,71,71,73,79,79,79,116,0,5,16.796891948294206,2.778175999992527,78.5896050001611,1139.1293103448277
1780830172,20,,Aggregated,11.666667,0.000000,5,6,8,8,68,71,71,73,79,79,79,127,0,5,15.699284960632442,2.778175999992527,78.5896050001611,1176.1889763779527
1780830173,20,,Aggregated,11.300000,0.000000,5,6,8,8,67,71,71,73,79,79,79,134,0,5,15.135425597026057,2.778175999992527,78.5896050001611,1196.3283582089553
